title,price,reference,image_url
pc portable lenovo ideapad slim 3 15amn8 / ryzen 5 7520u / 8 go / 512 go ssd / gris / windows 11 avec sacoche lenovo offerte,1309000.0,[82XQ00DLFG-2Y],
pc portable asus vivobook 15 x1504va / u3-100u / 16 go / 512 go ssd / windows 11 / bleu,1315000.0,[X1504VA-NJ784W-16],
pc portable asus vivobook go 15 e1504fa / ryzen 5 7520u / 8 go / 512 go ssd / windows 11 / noir,1329000.0,[E1504FA-NJ475W],
pc portable dell vostro 3530 / i3-1305u / 32 go / noir,1329000.0,[N1612PVNB3530-UBU-32],
pc portable hp 15-fd0053nk / i3-n305 / 32 go / 512 go ssd / silver,1339000.0,[A2AP0EA-32],
pc portable dell vostro 3530 / i3-1305u / 32 go / 512 go ssd / noir,1339000.0,[N1612QVNB3530-UBU-32],
pc portable hp 15-fd0052nk / i3-n305 / 32 go / 512 go ssd / bleu,1349000.0,[A2MM1EA-32],
pc portable dell vostro 3520 / i5-1235u / 8 go / noir,1349000.0,[N1610PVNB3520EMEA0],
pc portable asus vivobook 15 x1504va / u3-100u / 24 go / 512 go ssd / windows 11 / bleu,1355000.0,[X1504VA-NJ784W-24],
pc portable dell vostro 3520 / i5-1235u / 8 go / 512 go ssd / noir,1359000.0,[S-V3520I5-UBU],
pc portable hp 15-fd0055nk / i3-n305 / 32 go / 512 go ssd / noir,1359000.0,[A2AP1EA-32],
pc portable dell vostro 3520 / i5-1235u / 12 go / 512 go ssd / noir,1379000.0,[V3520I5-UBU-12],
pc portable lenovo ip1 / amd ryzen5 7520u / 16g 512ssd /  gris /  windows 11 avec sacoche offert,1389000.0,[82VG00NXFG-2Y],
pc portable dell vostro 3520 / i5-1235u / 32 go / 256 go ssd / noir,1399000.0,[3520I5V-UBU-32],
pc portable dell vostro 3520 / i5-1235u / 8 go / 512 go ssd / windows 11 pro / noir,1419000.0,[V3520I5-UBUW11P],
pc portable dell vostro 3520 / i5-1235u / 16 go / 512 go ssd / noir,1419000.0,[V3520I5-UBU-16],
pc portable lenovo thinkbook 16 g6 en irl / i3-1315u / 8 go ddr5 / 512 go ssd / gris,1449000.0,[21KH00SPFE-2Y],
pc portable dell vostro 3520 / i5-1235u / 24 go / 512 go ssd / noir,1459000.0,[V3520I5-UBU-24],
pc portable lenovo ideapad slim 3 15iah8 / i5-12450h / 8 go / 512 go ssd / gris avec sacoche lenovo t210 offerte,1469000.0,[83ER00DUFG-2Y],
