title,price,reference,description
PC Portable ASUS ExpertBook B2 B2502C i3 12è Gén 24Go 512Go SSD - Noir,"1 229,000 DT", [B2502CBA-KJ1662-24G],
Pc Portable HP 15-fd0055nk I3-N305 8G 512Go SSD - Noir,"1 229,000 DT", [BU-A2AP1EA],
Pc Portable HP 15-fd0051nk I3-N305 16Go 512Go SSD - Silver & Or Chaud,"1 229,000 DT", [A2AN9EA-16G],
Pc Portable HP 15-fd0055nk I3-N305 16Go 512Go SSD - Noir,"1 229,000 DT", [A2AP1EA-16G],
Pc Portable HP 15-fd0053nk I3-N305 16Go 512Go SSD - Silver ,"1 229,000 DT", [A2AP0EA-16G],
Pc Portable DELL Vostro 3520 i5 12ème Gén 4G 256Go SSD - Noir,"1 239,000 DT", [633640-3520],
PC Portable LENOVO V15 G4 AMN AMD RYZEN 5 8Go 512Go SSD - Noir,"1 239,000 DT", [82YU00CUFE],
Pc Portable DELL Vostro 3520 i5 12ème Gén 8G 256Go SSD - Noir,"1 279,000 DT", [633640-3520-8G],
PC Portable HP 15-fc0018nk AMD RYZEN 3 8Go 512Go SSD - Silver & Bleu,"1 285,000 DT", [886J8EA],
Pc Portable HP 15-fd0055nk I3-N305 16G 512Go SSD - Noir,"1 289,000 DT", [BU-A2AP1EA-16G],
,,,
,,,
Pc Portable DELL Vostro 3520 i5 12è Gén 8Go 512Go SSD - Noir,"1 299,000 DT", [V3520-I5-512SSD],
PC Portable LENOVO IdeaPad 1 15ALC7 AMD RYZEN 5 8Go 512Go SSD - Bleu,"1 299,000 DT", [82R400F7FG],
PC Portable LENOVO IdeaPad Slim 3 15AMN8 AMD RYZEN 5 8Go 512Go SSD - Gris,"1 309,000 DT", [82XQ00DLFG],
Pc Portable DELL Vostro 3520 i5 12ème Gén 12Go 256G SSD - Noir,"1 315,000 DT", [633640-3520-12G],
Pc Portable DELL Vostro 3520 i5 12ème Gén 12Go 512Go SSD - Noir,"1 319,000 DT", [V3520-I5-512SSD-12G],
PC Portable HP 15-fc0019nk AMD RYZEN 3 8Go 512Go SSD - Silver,"1 319,000 DT", [886J9EA],
PC Portable LENOVO IdeaPad 1 15ALC7 AMD RYZEN 5 12Go 512Go SSD - Bleu,"1 319,000 DT", [82R400F7FG-12G],
PC Portable LENOVO IdeaPad 1 15ALC7 AMD RYZEN 5 16Go 512Go SSD - Bleu,"1 355,000 DT", [82R400F7FG-16G],
Pc Portable DELL Vostro 3520 i5 12ème Gén 16Go 512Go SSD - Noir,"1 359,000 DT", [V3520-I5-512SSD-16G],
Pc Portable DELL Vostro 3520 i5 12ème Gén 20Go 256Go SSD - Noir,"1 365,000 DT", [BU-N4005PVNB3520-20G],
Pc Portable DELL Vostro 3520 i5 12ème Gén 20G 256Go SSD - Noir,"1 389,000 DT", [633640-3520-20G],
PC Portable LENOVO IdeaPad 1 15AMN7 AMD RYZEN 5 16Go 512Go SSD - Gris,"1 389,000 DT", [82VG00NXFG],
Pc Portable DELL Vostro 3520 i5 12ème Gén 24Go 512Go SSD - Noir,"1 399,000 DT", [V3520-I5-512SSD-24G],
PC Portable LENOVO IdeaPad 1 15ALC7 AMD RYZEN 5 24Go 512Go SSD - Bleu,"1 399,000 DT", [82R400F7FG-24G],
Pc Portable DELL Vostro 3520 i5 12è Gén 20Go 256G SSD - Noir,"1 415,000 DT", [BU-N4005PVNB3520-20G-W11],
PC Portable LENOVO V15 G4 IRU i5 13è Gén 8Go 256Go SSD - Noir,"1 445,000 DT", [83A1009DFE],
PC Portable LENOVO ThinkBook 16 G6 IRL i3 13è Gén 8Go 512Go SSD - Gris,"1 449,000 DT", [21KH00SPFE],
PC Portable LENOVO IdeaPad 3 15ALC6 AMD RYZEN 7 8G 512Go SSD - Gris,"1 465,000 DT", [82KU00H4FE],
PC Portable HP 15-fd0267nk i5 13è Gén 8Go 256Go SSD - Gris,"1 469,000 DT", [A2AQ0EA],
