title,price
Pc Portable HP15-FD0026NK / i3-N305 / 32 Go / Windows 11 / Bleu,"1 389,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3-1315U / 24 Go / 256 Go SSD / Windows 11 / Silver + Imprimante À Réservoir Intégré Couleur Epson L121,"1 389,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3-1315U / 24 Go / 256 Go SSD / Windows 11 / Bleu   Avec Imprimante À Réservoir Intégré Couleur Epson EcoTank L121,"1 389,000 DT"
Pc Portable HP15-FD0027NK / i3-N305 / 32 Go / Windows 11 / Gris,"1 390,000 DT"
PC Portable Lenovo IdeaPad 1 15ALC7 / Ryzen 5 5500U / 24 Go / 512 Go SSD / Bleu / Windows 11 Avec Sacoche Lenovo Offerte,"1 399,000 DT"
Pc Portable DELL VOSTRO 3520 / i5-1235U / 24 Go / 512 Go SSD / Noir,"1 399,000 DT"
PC Portable DELL Vostro 3520 / i5-1235U / 32 Go / 256 Go SSD / Noir,"1 399,000 DT"
Pc Portable HP15-FD0026NK / i3-N305 / 32 Go / Windows 11 / Bleu AVEC SACOCHE OFFERTE,"1 399,000 DT"
PC Portable DELL Vostro 3520 / i5-1235U / 32 Go / 256 Go SSD / Noir AVEC SACOCHE OFFERTE,"1 409,000 DT"
Pc Portable HP15-FD0026NK / i3-N305 / 32 Go / Windows 11 / Bleu  + SAC À DOS HP OFFERT,"1 415,000 DT"
Pc Portable HP15-FD0027NK / i3-N305 / 32 Go / Windows 11 / Gris   + Sac à dos HP Offert,"1 435,000 DT"
Pc Portable DELL Vostro 3520 / i5-1235U / 32Go / Noir,"1 439,000 DT"
Pc Portable DELL VOSTRO 3520 / i5-1235U / 24 Go / 512 Go SSD / Windows 11 Pro / Noir,"1 459,000 DT"
Pc Portable DELL VOSTRO 3520 / i5-1235U / 32 Go / 512 Go SSD / Noir,"1 465,000 DT"
Pc Portable HP 15-fd0267nk / i5-1334U / 8 Go / 256 Go SSD / Gris,"1 469,000 DT"
Pc Portable Lenovo IdeaPad 3 15IAU7 / i5-1235U / 8 Go / 512 Go SSD / Windows 11 / Gris,"1 469,000 DT"
Pc Portable Lenovo IdeaPad 3 15IAU7 / i5-1235U / 8 Go / 512 Go SSD / Windows 11 / Bleu + Sacoche Lenovo Offerte,"1 469,000 DT"
Pc Portable HP 15-fc0018nk / Ryzen 5 7520U / 8 Go / Silver,"1 469,000 DT"
PC portable Lenovo IdeaPad Slim 3 15IAH8 / i5-12450H / 8 Go / 512 Go SSD / Gris Avec Sacoche Lenovo T210 Offerte,"1 469,000 DT"
Pc Portable Lenovo IdeaPad 3 15IAU7 / i5-1235U / 12 Go / 512 Go SSD / Windows 11 / Gris,"1 489,000 DT"
Pc Portable dynabook SATTELITE PRO L50-J-10S / i3 11é Gén / 8 Go,"1 495,000 DT"
Pc Portable HP 15-fc0016nk / Ryzen 5 7520U / 8 Go / Silver / Windows 11,"1 499,000 DT"
Pc Portable Lenovo IdeaPad 3 15IAU7 / i5-1235U / 16 Go / 512 Go SSD / Windows 11 / Gris,"1 529,000 DT"
